usable,main_class,middle_class,sub_class,cx,cy,min_x,min_y,max_x,max_y,x1,y1,x2,y2,x3,y3,x4,y4,arma3_class,id,width,height
T,Armored,APC,LAV-C2,842.0,378.0,812.0,336.0,869.0,408.0,840,331,874,350,840,411,806,392,cup_b_lav25_hq_desert_usmc,id_0,38.948684188300895,69.83552104767315
T,Armored,APC,MT-LB,526.0,821.0,492.0,784.0,554.0,854.0,490,800,514,783,554,837,530,854,cup_b_mtlb_pk_winter_cdf,id_2,29.410882339705484,67.20119046564577
T,Support,ASV,BRDM-2,1521.0,810.0,1489.0,795.0,1559.0,821.0,1489,794,1559,794,1559,820,1489,820,cup_o_brdm2_hq_rus,id_7,70.0,26.0
T,Support,ASV,BRDM-2,1362.0,858.0,1342.0,824.0,1387.0,889.0,1341,830,1365,822,1387,882,1363,890,cup_o_brdm2_rus,id_5,25.29822128134704,63.90618123468183
T,Support,ASV,BRDM-2,1033.0,625.0,1003.0,602.0,1064.0,643.0,1056,601,1064,621,1010,643,1002,623,cwr3_o_brdm2,id_11,21.54065922853801,58.30951894845301
T,Armored,APC,MT-LB,1234.0,346.0,1211.0,317.0,1259.0,370.0,1239,314,1259,327,1230,371,1211,358,cwr3_o_mtlb_mev,id_9,23.853720883753127,52.69724850502159
T,Armored,APC,MT-LB,998.0,775.0,980.0,740.0,1016.0,807.0,980,743,1005,738,1016,803,990,807,cwr3_o_mtlb_repair,id_1,25.495097567963924,65.92419889539804
T,Armored,IFV,BMD-1,942.0,498.0,918.0,481.0,966.0,505.0,918,480,966,481,966,504,917,503,rhs_bmd1k,id_6,48.010415536631214,23.0
T,Armored,IFV,BMD-1,1445.0,756.0,1420.0,734.0,1476.0,772.0,1424,733,1478,748,1471,772,1417,757,rhs_bmd1r,id_3,56.04462507680822,25.0
T,Armored,IFV,BMD-2,1128.0,529.0,1098.0,501.0,1160.0,548.0,1148,498,1160,518,1109,550,1097,530,rhs_bmd2m,id_8,23.323807579381203,60.20797289396148
