usable,main_class,middle_class,sub_class,cx,cy,min_x,min_y,max_x,max_y,x1,y1,x2,y2,x3,y3,x4,y4,arma3_class,id,width,height
T,Armored,APC,LAV-C2,883.0,568.0,864.0,544.0,901.0,581.0,886,537,906,554,878,587,858,570,cup_b_lav25_hq_desert_usmc,id_0,26.248809496813376,43.2781700167648
T,Armored,APC,MT-LB,658.0,769.0,637.0,747.0,677.0,783.0,636,755,649,743,677,774,663,786,cup_b_mtlb_pk_winter_cdf,id_2,17.69180601295413,41.77319714841085
T,Support,ASV,BRDM-2,1349.0,761.0,1326.0,749.0,1374.0,767.0,1326,748,1374,748,1374,766,1326,766,cup_o_brdm2_hq_rus,id_7,48.0,18.0
T,Support,ASV,BRDM-2,1241.0,785.0,1226.0,765.0,1258.0,799.0,1225,768,1238,760,1258,795,1245,803,cup_o_brdm2_rus,id_5,15.264337522473747,40.311288741492746
T,Support,ASV,BRDM-2,1009.0,675.0,989.0,662.0,1029.0,683.0,988,672,1026,661,1029,672,991,683,cwr3_o_brdm2,id_11,39.56008088970496,11.40175425099138
T,Armored,APC,MT-LB,1137.0,556.0,1122.0,542.0,1152.0,564.0,1143,537,1152,546,1130,568,1122,560,cwr3_o_mtlb_mev,id_9,12.727922061357855,31.11269837220809
T,Armored,APC,MT-LB,986.0,747.0,974.0,729.0,999.0,760.0,974,729,991,725,999,757,981,762,cwr3_o_mtlb_repair,id_1,17.46424919657298,32.984845004941285
T,Armored,IFV,BMD-1,948.0,620.0,932.0,609.0,964.0,621.0,932,608,964,609,964,621,931,619,rhs_bmd1k,id_6,32.01562118716424,12.0
T,Armored,IFV,BMD-1,1293.0,737.0,1276.0,723.0,1313.0,742.0,1277,722,1314,730,1312,742,1274,734,rhs_bmd1r,id_3,37.8549864614954,12.16552506059644
T,Armored,IFV,BMD-2,1072.0,633.0,1052.0,618.0,1092.0,639.0,1087,615,1091,626,1056,641,1052,631,rhs_bmd2m,id_8,11.704699910719626,38.07886552931954
