usable,main_class,middle_class,sub_class,cx,cy,min_x,min_y,max_x,max_y,x1,y1,x2,y2,x3,y3,x4,y4,arma3_class,id,width,height
T,Armored,APC,LAV-C2,869.0,504.0,846.0,474.0,890.0,522.0,871,467,896,485,864,528,840,509,cup_b_lav25_hq_desert_usmc,id_0,30.80584360149873,53.60037313302959
T,Armored,APC,MT-LB,600.0,789.0,574.0,761.0,622.0,810.0,573,771,591,757,622,798,603,812,cup_b_mtlb_pk_winter_cdf,id_2,22.80350850198276,51.40038910358559
T,Support,ASV,BRDM-2,1424.0,779.0,1397.0,766.0,1454.0,788.0,1397,765,1454,765,1454,787,1397,787,cup_o_brdm2_hq_rus,id_7,57.0,22.0
T,Support,ASV,BRDM-2,1295.0,813.0,1277.0,787.0,1316.0,834.0,1276,790,1294,782,1316,829,1298,837,cup_o_brdm2_rus,id_5,19.697715603592208,51.894122981316485
T,Support,ASV,BRDM-2,1018.0,657.0,994.0,640.0,1043.0,668.0,1038,639,1043,653,998,669,993,654,cwr3_o_brdm2,id_11,14.866068747318506,47.75981574503821
T,Armored,APC,MT-LB,1171.0,486.0,1153.0,468.0,1189.0,499.0,1176,463,1189,474,1165,503,1153,493,cwr3_o_mtlb_mev,id_9,17.029386365926403,37.64306044943742
T,Armored,APC,MT-LB,991.0,758.0,977.0,733.0,1007.0,777.0,977,734,998,730,1007,775,985,779,cwr3_o_mtlb_repair,id_1,21.37755832643195,45.89117562233506
T,Armored,IFV,BMD-1,946.0,577.0,927.0,565.0,965.0,580.0,927,564,965,566,964,580,926,578,rhs_bmd1k,id_6,38.05259518088089,14.0356688476182
T,Armored,IFV,BMD-1,1357.0,744.0,1337.0,726.0,1381.0,752.0,1339,725,1383,735,1379,752,1335,742,rhs_bmd1r,id_3,45.12205669071391,17.46424919657298
T,Armored,IFV,BMD-2,1093.0,597.0,1069.0,577.0,1118.0,607.0,1111,574,1118,588,1075,609,1068,595,rhs_bmd2m,id_8,15.652475842498529,47.8539444560216
