usable,main_class,middle_class,sub_class,cx,cy,min_x,min_y,max_x,max_y,x1,y1,x2,y2,x3,y3,x4,y4,arma3_class,id,width,height
T,Armored,APC,LAV-C2,855.0,440.0,828.0,403.0,880.0,463.0,855,397,886,416,852,468,822,448,cup_b_lav25_hq_desert_usmc,id_0,36.359317925395686,62.12889826803627
T,Armored,APC,MT-LB,555.0,807.0,525.0,774.0,581.0,835.0,524,787,546,771,580,821,559,836,cup_b_mtlb_pk_winter_cdf,id_2,27.202941017470888,60.4648658313239
T,Support,ASV,BRDM-2,1482.0,796.0,1452.0,781.0,1517.0,807.0,1452,780,1517,782,1516,807,1451,805,cup_o_brdm2_hq_rus,id_7,65.03076195155643,25.019992006393608
T,Support,ASV,BRDM-2,1336.0,838.0,1316.0,807.0,1360.0,865.0,1315,813,1336,803,1360,858,1339,868,cup_o_brdm2_rus,id_5,23.259406699226016,60.00833275470999
T,Support,ASV,BRDM-2,1026.0,639.0,999.0,619.0,1054.0,654.0,1047,618,1055,636,1005,655,998,637,cwr3_o_brdm2,id_11,19.697715603592208,53.48831648126533
T,Armored,APC,MT-LB,1203.0,415.0,1183.0,391.0,1225.0,433.0,1208,387,1225,399,1199,435,1183,423,cwr3_o_mtlb_mev,id_9,20.808652046684813,44.40720662234904
T,Armored,APC,MT-LB,995.0,767.0,979.0,737.0,1013.0,794.0,979,739,1003,735,1012,790,988,795,cwr3_o_mtlb_repair,id_1,24.33105012119288,55.731499172371095
T,Armored,IFV,BMD-1,944.0,536.0,922.0,521.0,966.0,541.0,922,520,966,522,965,541,921,539,rhs_bmd1k,id_6,44.04543109109048,19.026297590440446
T,Armored,IFV,BMD-1,1408.0,750.0,1385.0,730.0,1436.0,763.0,1388,729,1438,742,1433,763,1383,750,rhs_bmd1r,id_3,51.66236541235796,21.587033144922906
T,Armored,IFV,BMD-2,1112.0,561.0,1085.0,537.0,1140.0,575.0,1130,534,1140,551,1094,577,1085,561,rhs_bmd2m,id_8,19.72308292331602,52.839379254491625
